iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.6123987e-01 8.84e-01 1.12e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1r 2.6123987e-01 8.84e-01 9.99e+02  -0.0 0.00e+00   0.0 0.00e+00 0.00e+00R  1
   2r 2.6027183e-01 7.25e-01 9.98e+02  -0.0 1.02e+03    -  6.52e-04 8.93e-04f  1
   3  2.0466171e-01 1.20e-01 4.08e+01  -1.0 1.14e+00    -  9.61e-02 9.90e-01f  1
   4  2.0503873e-01 4.12e-02 4.22e+02  -1.0 5.41e-01  -0.5 5.72e-01 9.90e-01f  1
   5  2.4203622e-01 5.99e-02 3.60e+04  -1.0 8.81e-01  -1.0 6.43e-01 1.00e+00f  1
   6  2.4561671e-01 1.62e-01 3.92e+04  -1.0 4.93e+00    -  4.70e-01 4.64e-01f  1
   7  2.1284801e-01 5.35e-02 1.42e+06  -1.0 1.95e+00    -  7.30e-01 1.00e+00h  1
   8  1.9964693e-01 1.94e-02 1.01e+01  -1.0 7.62e+00    -  1.00e+00 6.98e-01h  1
   9  1.7684880e-01 2.81e-02 3.02e+06  -1.7 3.51e-01    -  6.22e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.7173803e-01 3.07e-03 6.84e-02  -1.7 2.59e-01  -1.4 1.00e+00 1.00e+00h  1
  11  1.6423129e-01 1.42e-03 2.92e+05  -3.8 1.01e-01  -1.0 8.53e-01 1.00e+00h  1
  12  1.5788191e-01 8.00e-04 1.40e+04  -3.8 5.36e-02  -0.6 9.52e-01 1.00e+00h  1
  13  1.4119588e-01 4.09e-03 1.51e-02  -3.8 1.72e-01  -1.1 1.00e+00 1.00e+00h  1
  14  1.1850818e-01 1.91e-02 4.97e-02  -3.8 5.67e-01  -1.5 8.06e-01 1.00e+00h  1
  15  1.1244085e-01 1.30e-02 3.89e-02  -3.8 1.53e-01  -1.1 1.00e+00 1.00e+00h  1
  16  1.0654524e-01 4.57e-02 9.60e-02  -3.8 1.59e-01  -1.6 1.00e+00 1.00e+00h  1
  17  9.8842606e-02 2.85e-02 2.13e-02  -3.8 2.62e-01  -2.1 1.00e+00 1.00e+00h  1
  18  9.3253025e-02 9.36e-02 1.20e-01  -3.8 4.20e-01  -2.5 6.95e-01 1.00e+00h  1
  19  8.5115647e-02 5.23e-02 2.27e-02  -3.8 4.89e-01  -3.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.0265695e-01 3.22e-02 1.00e+00  -3.8 2.63e-01  -2.6 5.80e-01 1.00e+00H  1
  21  9.6716218e-02 4.18e-03 1.42e-01  -3.8 1.71e-01  -1.3 1.00e+00 1.00e+00h  1
  22  9.0760650e-02 5.57e-02 6.85e-02  -3.8 4.92e-01  -1.7 1.00e+00 1.00e+00h  1
  23  7.9489396e-02 1.18e-02 2.18e-02  -3.8 6.99e-01  -2.2 1.00e+00 1.00e+00h  1
  24  7.6195539e-02 5.16e-02 1.96e-02  -3.8 7.61e-01  -2.7 8.61e-01 1.00e+00h  1
  25  7.2668624e-02 4.06e-03 9.04e-03  -3.8 3.48e-01  -3.2 9.72e-01 1.00e+00h  1
  26  6.9278905e-02 6.24e-03 8.52e-03  -3.8 9.57e-01  -3.6 1.00e+00 5.34e-01h  1
  27  6.8432374e-02 9.46e-03 1.51e-02  -3.8 2.23e+00    -  6.08e-01 1.72e-01h  2
  28  6.7104307e-02 1.10e-02 2.28e-02  -3.8 1.37e+00    -  1.00e+00 1.00e+00h  1
  29  6.7235353e-02 4.75e-03 8.11e-03  -3.8 3.12e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  6.6881994e-02 2.64e-03 8.26e-03  -3.8 3.16e-01    -  1.00e+00 1.00e+00h  1
  31  6.7127889e-02 6.07e-04 9.02e-04  -3.8 1.48e-01    -  1.00e+00 1.00e+00h  1
  32  6.7163707e-02 5.75e-05 8.68e-05  -3.8 3.17e-02    -  1.00e+00 1.00e+00h  1
  33  6.5057047e-02 6.91e-03 1.30e+01  -5.7 4.76e+00    -  5.61e-01 5.60e-01h  1
  34  6.4559566e-02 2.41e-03 7.93e+02  -5.7 2.22e+00    -  8.90e-01 7.69e-01h  1
  35  6.4449679e-02 7.94e-04 1.39e+02  -5.7 8.42e-01    -  8.06e-01 1.00e+00h  1
  36  6.4419788e-02 3.03e-04 6.16e-02  -5.7 1.33e+00    -  1.00e+00 9.37e-01h  1
  37  6.4426268e-02 1.06e-05 3.16e-05  -5.7 9.59e-02    -  1.00e+00 1.00e+00h  1
  38  6.4425494e-02 1.94e-07 6.70e-07  -5.7 2.05e-02    -  1.00e+00 1.00e+00h  1
  39  6.4425483e-02 7.59e-11 2.27e-10  -5.7 4.19e-04    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  6.4415806e-02 4.72e-06 2.34e+01  -8.6 2.16e-01    -  9.71e-01 8.45e-01h  1
  41  6.4415047e-02 3.89e-07 4.80e-01  -8.6 3.19e-02    -  1.00e+00 9.83e-01h  1
  42  6.4415041e-02 1.61e-09 4.18e-09  -8.6 1.68e-03    -  1.00e+00 1.00e+00f  1
